State,Institution,Type of Discrimination,Investigation Open Date
Illinois,LOYOLA UNIVERSITY - STRITCH SCHOOL OF MEDICINE,Disability - Retaliation,2024-01-17
Illinois,ILLINOIS VALLEY COMMUNITY COLLEGE,Disability - Academic Adjustments,2024-01-31
Illinois,MCKENDREE UNIVERSITY,Title IX - Single Sex Scholarships,2024-01-17
Illinois,MIDWESTERN CAREER COLLEGE,Title IX - Retaliation,2021-11-08
Illinois,MIDWESTERN CAREER COLLEGE,Title IX - Sexual Harassment,2021-11-08
Illinois,NORTHERN ILLINOIS UNIVERSITY,Title IX - Single Sex Scholarships,2020-03-24
Illinois,NORTHWESTERN UNIVERSITY,Title VI - Admissions,2023-11-30
Illinois,NORTHWESTERN UNIVERSITY,Title VI - National Origin Discrimination Involving Religion,2024-01-23
Illinois,NORTHWESTERN UNIVERSITY,Title IX - Denial of Benefits,2022-03-30
Illinois,RASMUSSEN UNIVERSITY - AURORA NAPERVILLE,Disability - Academic Adjustments,2023-10-23
Illinois,RASMUSSEN UNIVERSITY - AURORA NAPERVILLE,Disability - Academic Adjustments,2023-11-01
Illinois,SCHOOL OF THE ART INSTITUTE OF CHICAGO,Disability - Denial of Benefits,2024-02-02
Illinois,SCHOOL OF THE ART INSTITUTE OF CHICAGO,Title VI - Others,2023-02-02
Illinois,SCHOOL OF THE ART INSTITUTE OF CHICAGO,Title VI - Retaliation,2023-02-02
Illinois,SOUTHERN ILLINOIS UNIVERSITY-CARBONDALE,Age - Discrimination Prohibited,2023-01-12
Illinois,ROOSEVELT UNIVERSITY,Title IX - Procedural Requirements,2020-07-02
Illinois,SAINT XAVIER UNIVERSITY,Title VI - Racial Harassment,2023-05-01
Illinois,SOUTHERN ILLINOIS UNIVERSITY-CARBONDALE,Disability - Retaliation,2023-01-12
Illinois,SOUTHERN ILLINOIS UNIVERSITY-CARBONDALE,Title VI - Denial of Benefits,2023-01-12
Illinois,SOUTHERN ILLINOIS UNIVERSITY-CARBONDALE,Title VI - Retaliation,2023-01-12
Illinois,PRAIRIE STATE COLLEGE,Title VI - Racial Harassment,2023-08-18
Illinois,SOUTHERN ILLINOIS UNIVERSITY-CARBONDALE,Age - Retaliation,2023-01-12
Illinois,SOUTHERN ILLINOIS UNIVERSITY-CARBONDALE,Disability - Denial of Benefits,2023-01-12
Illinois,SOUTHERN ILLINOIS UNIVERSITY-EDWARDSVILLE,Title VI - Racial Harassment,2022-02-14
Illinois,SOUTHERN ILLINOIS UNIVERSITY-EDWARDSVILLE,Title VI - Retaliation,2022-02-14
Illinois,TRINITY EVANGELICAL DIVINITY SCHOOL,Title IX - Denial of Benefits,2024-01-29
Illinois,TRINITY EVANGELICAL DIVINITY SCHOOL,Title IX - Retaliation,2024-01-29
Illinois,UNIVERSITY OF CHICAGO,Title VI - Admissions,2023-12-28
Illinois,UNIVERSITY OF ILLINOIS AT CHICAGO,Disability - Denial of Benefits,2022-09-09
Illinois,UNIVERSITY OF ILLINOIS AT CHICAGO,Title IX - Sexual Harassment,2017-05-09
Illinois,UNIVERSITY OF ILLINOIS AT CHICAGO,Title IX - Sexual Harassment,2017-05-17
Illinois,UNIVERSITY OF ILLINOIS AT CHICAGO,Title IX - Sexual Violence,2016-04-22
Illinois,UNIVERSITY OF ILLINOIS AT CHICAGO,Title IX - Single Sex Campus Programs,2020-02-19
Illinois,SOUTHERN ILLINOIS UNIVERSITY-CARBONDALE,Title IX - Retaliation,2023-01-12
Illinois,SOUTHERN ILLINOIS UNIVERSITY-CARBONDALE,Title IX - Single Sex Scholarships,2021-01-13
Illinois,UNIVERSITY OF ILLINOIS AT CHICAGO,Title VI - National Origin Discrimination Involving Religion,2023-12-19
Illinois,UNIVERSITY OF ILLINOIS AT CHICAGO,Title IX - Retaliation,2017-05-09
Illinois,UNIVERSITY OF ILLINOIS AT CHICAGO,Title IX - Retaliation,2017-05-17
Illinois,TRINITY EVANGELICAL DIVINITY SCHOOL,Title VI - Denial of Benefits,2024-01-29
Illinois,UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN,Title VI - Racial Harassment,2022-02-18
Illinois,UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN,Title IX - Denial of Benefits,2022-06-17
Illinois,UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN,Title IX - Single Sex Campus Programs,2019-11-22
Illinois,UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN,Title IX - Single Sex Scholarships,2019-11-22
Illinois,UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN,Disability - Denial of Benefits,2022-06-17
Illinois,UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN,Disability - Disability Harassment,2021-08-06
Illinois,UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN,Title VI - National Origin Discrimination Involving Religion,2020-11-13
Illinois,UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN,Title VI - Others,2022-02-18
Illinois,UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN,Title VI - Racial Harassment,2021-08-06
Illinois,UNIVERSITY OF ILLINOIS AT CHICAGO,Title IX - Single Sex Scholarships,2020-02-19
Illinois,WILLIAM RAINEY HARPER COLLEGE,Title IX - Single Sex Campus Programs,2023-06-16
Illinois,WILLIAM RAINEY HARPER COLLEGE,Title IX - Single Sex Scholarships,2023-06-16
Indiana,BUTLER UNIVERSITY,Title IX - Single Sex Scholarships,2024-01-18
Indiana,BUTLER UNIVERSITY,Title IX - Retaliation,2023-08-15
Indiana,BUTLER UNIVERSITY,Title IX - Sexual Harassment,2023-08-15
Indiana,BUTLER UNIVERSITY,Title IX - Single Sex Campus Programs,2024-01-18
Indiana,BALL STATE UNIVERSITY,Disability - Others,2019-11-26
Indiana,BALL STATE UNIVERSITY,Title IX - Single Sex Campus Programs,2024-02-08
Indiana,BALL STATE UNIVERSITY,Title IX - Single Sex Scholarships,2024-02-08
Indiana,ANDERSON UNIVERSITY,Title VI - Denial of Benefits,2022-10-14
Indiana,ANDERSON UNIVERSITY,Title VI - Others,2022-10-14
Indiana,ANDERSON UNIVERSITY,Title IX - Others,2024-02-12
Indiana,HANOVER COLLEGE,Title VI - Others,2022-03-04
Indiana,INDIANA STATE UNIVERSITY,Title VI - Others,2022-10-06
Indiana,INDIANA STATE UNIVERSITY,Title VI - Racial Harassment,2023-08-09
Indiana,HANOVER COLLEGE,Title IX - Single Sex Scholarships,2022-03-04
Indiana,HOLY CROSS COLLEGE,Title IX - Single Sex Scholarships,2024-01-18
Indiana,INDIANA UNIVERSITY SCHOOL OF DENTISTRY,Title VI - Denial of Benefits,2024-01-26
Indiana,INDIANA UNIVERSITY SCHOOL OF DENTISTRY,Title VI - Racial Harassment,2024-01-26
Indiana,INDIANA UNIVERSITY SCHOOL OF DENTISTRY,Title IX - Denial of Benefits,2024-01-26
Indiana,INDIANA UNIVERSITY SCHOOL OF LAW - INDIANAPOLIS,Disability - Others,2023-11-09
Indiana,INDIANA UNIVERSITY-BLOOMINGTON,Title IX - Single Sex Scholarships,2022-07-26
Indiana,INDIANA UNIVERSITY-PURDUE UNIVERSITY-FORT WAYNE,Title IX - Retaliation,2016-06-10
Indiana,INDIANA UNIVERSITY SCHOOL OF LAW - INDIANAPOLIS,Disability - Retaliation,2023-11-09
Indiana,INDIANA UNIVERSITY-BLOOMINGTON,Title IX - Single Sex Campus Programs,2023-07-18
Indiana,INDIANA UNIVERSITY-BLOOMINGTON,Title IX - Single Sex Scholarships,2020-02-19
Indiana,INDIANA UNIVERSITY-BLOOMINGTON,Title VI - National Origin Discrimination Involving Religion,2024-02-05
Indiana,INDIANA UNIVERSITY-BLOOMINGTON,Title IX - Single Sex Campus Programs,2021-01-19
Indiana,INDIANA UNIVERSITY-BLOOMINGTON,Title VI - Others,2023-07-18
Indiana,INDIANA UNIV. SCHOOL OF MED.,Title IX - GT/STEM/CTE,2023-10-24
Indiana,INDIANA STATE UNIVERSITY,Title VI - Retaliation,2023-08-09
Indiana,INDIANA UNIVERSITY-PURDUE UNIVERSITY-INDIANAPOLIS,Title VI - Denial of Benefits,2023-04-18
Indiana,INDIANA UNIVERSITY-PURDUE UNIVERSITY-INDIANAPOLIS,Title VI - Denial of Benefits,2023-10-06
Indiana,INDIANA UNIVERSITY-PURDUE UNIVERSITY-INDIANAPOLIS,Title VI - Discipline,2023-10-06
Indiana,INDIANA UNIVERSITY-PURDUE UNIVERSITY-INDIANAPOLIS,Title VI - Others,2023-07-14
Indiana,INDIANA UNIVERSITY-PURDUE UNIVERSITY-INDIANAPOLIS,Title VI - Racial Harassment,2023-10-06
Indiana,INDIANA UNIVERSITY-PURDUE UNIVERSITY-INDIANAPOLIS,Title VI - Retaliation,2024-01-12
Indiana,INDIANA UNIVERSITY-PURDUE UNIVERSITY-INDIANAPOLIS,Disability - Disability Harassment,2023-10-06
Indiana,INDIANA UNIVERSITY-PURDUE UNIVERSITY-INDIANAPOLIS,Disability - Discipline,2023-10-06
Indiana,INDIANA UNIVERSITY-PURDUE UNIVERSITY-INDIANAPOLIS,Title IX - Retaliation,2024-01-12
Indiana,INDIANA UNIVERSITY-PURDUE UNIVERSITY-INDIANAPOLIS,Title IX - Sexual Harassment,2023-04-18
Indiana,INDIANA UNIVERSITY-PURDUE UNIVERSITY-FORT WAYNE,Title IX - Sexual Violence,2016-06-10
Indiana,INDIANA UNIVERSITY-PURDUE UNIVERSITY-INDIANAPOLIS,Age - Retaliation,2024-01-12
Indiana,INDIANA UNIVERSITY-PURDUE UNIVERSITY-INDIANAPOLIS,Title IX - Single Sex Scholarships,2020-02-19
Indiana,INDIANA UNIVERSITY-PURDUE UNIVERSITY-INDIANAPOLIS,Disability - Academic Adjustments,2023-10-06
Indiana,INDIANA UNIVERSITY-PURDUE UNIVERSITY-INDIANAPOLIS,Disability - Academic Adjustments,2023-12-08
Indiana,INDIANA UNIVERSITY-PURDUE UNIVERSITY-INDIANAPOLIS,Disability - Retaliation,2023-10-06
Indiana,IVY TECH COMMUNITY COLLEGE,Disability - Academic Adjustments,2022-12-06
Indiana,IVY TECH COMMUNITY COLLEGE,Disability - Academic Adjustments,2024-01-17
Indiana,IVY TECH COMMUNITY COLLEGE,Disability - Accessibility - Website/Online Courses,2022-05-23
Indiana,IVY TECH COMMUNITY COLLEGE,Disability - Denial of Benefits,2022-12-06
Indiana,IVY TECH COMMUNITY COLLEGE,Disability - Denial of Benefits,2023-10-03
Indiana,INDIANA UNIVERSITY-SOUTHEAST,Title IX - Single Sex Scholarships,2024-02-08
Indiana,IVY TECH COMMUNITY COLLEGE,Disability - Effective Communication,2022-05-23
Indiana,IVY TECH COMMUNITY COLLEGE,Disability - Retaliation,2023-10-03
Indiana,IVY TECH COMMUNITY COLLEGE,Title VI - Racial Harassment,2022-07-21
Indiana,IVY TECH COMMUNITY COLLEGE,Title IX - Denial of Benefits,2022-12-06
Indiana,IVY TECH COMMUNITY COLLEGE,Title IX - Denial of Benefits,2023-10-03
Indiana,IVY TECH COMMUNITY COLLEGE,Title IX - Gender Harassment,2022-07-21
Indiana,IVY TECH COMMUNITY COLLEGE,Title IX - Retaliation,2023-10-03
Indiana,INDIANA UNIVERSITY-SOUTHEAST,Title IX - Single Sex Campus Programs,2024-02-08
Indiana,MARIAN UNIVERSITY,Title IX - Single Sex Campus Programs,2024-01-18
Indiana,MARIAN UNIVERSITY,Title IX - Single Sex Scholarships,2023-03-16
Indiana,MARIAN UNIVERSITY,Title IX - Single Sex Scholarships,2024-01-18
Indiana,PURDUE UNIVERSITY GLOBAL,Disability - Accessibility - Website/Online Courses,2022-05-23
Indiana,ROSE-HULMAN INSTITUTE OF TECHNOLOGY,Title IX - Denial of Benefits,2023-06-02
Indiana,SAINT MARY-OF-THE-WOODS COLLEGE,Title VI - Others,2022-02-09
Indiana,SAINT MARY-OF-THE-WOODS COLLEGE,Title VI - Retaliation,2022-09-06
Indiana,SAINT MARY-OF-THE-WOODS COLLEGE,Title IX - Athletics,2022-09-06
Indiana,SAINT MARY'S COLLEGE,Title IX - Others,2023-04-04
Indiana,PURDUE UNIVERSITY GLOBAL,Disability - Effective Communication,2022-05-23
Indiana,PURDUE UNIVERSITY-MAIN CAMPUS,Disability - Academic Adjustments,2022-04-20
Indiana,PURDUE UNIVERSITY-MAIN CAMPUS,Disability - Denial of Benefits,2022-04-20
Indiana,PURDUE UNIVERSITY-MAIN CAMPUS,Disability - Disability Harassment,2022-04-20
Indiana,PURDUE UNIVERSITY-MAIN CAMPUS,Disability - Retaliation,2022-04-20
Indiana,PURDUE UNIVERSITY-MAIN CAMPUS,Title VI - Denial of Benefits,2020-10-16
Indiana,PURDUE UNIVERSITY-MAIN CAMPUS,Title VI - Denial of Benefits,2023-03-10
Indiana,PURDUE UNIVERSITY-MAIN CAMPUS,Title IX - Single Sex Scholarships,2023-03-24
Indiana,VINCENNES UNIVERSITY,Title IX - Single Sex Scholarships,2020-04-07
Indiana,UNIVERSITY OF INDIANAPOLIS,Title IX - Single Sex Scholarships,2024-01-18
Indiana,UNIVERSITY OF NOTRE DAME,Title VI - Admissions,2023-11-15
Indiana,UNIVERSITY OF NOTRE DAME,Title IX - GT/STEM/CTE,2022-10-07
Indiana,UNIVERSITY OF NOTRE DAME,Title IX - Sexual Harassment,2015-10-21
Indiana,UNIVERSITY OF NOTRE DAME,Title IX - Sexual Violence,2016-02-19
Indiana,UNIVERSITY OF INDIANAPOLIS,Title IX - Single Sex Campus Programs,2024-01-18
Indiana,UNIVERSITY OF NOTRE DAME,Title IX - Sexual Violence,2018-04-25
Indiana,UNIVERSITY OF NOTRE DAME,Title IX - Sexual Violence,2023-04-20
Indiana,UNIVERSITY OF NOTRE DAME,Title IX - Single Sex Campus Programs,2024-01-16
Iowa,KIRKWOOD COMMUNITY COLLEGE,Title IX - Single Sex Scholarships,2020-08-03
Iowa,SAINT AMBROSE UNIVERSITY,Title IX - Sexual Harassment,2022-10-26
Iowa,INDIAN HILLS COMMUNITY COLLEGE,Title IX - Single Sex Scholarships,2024-01-02
Iowa,EASTERN IOWA COMMUNITY COLLEGES,Disability - Accessibility - Website/Online Courses,2022-05-23
Iowa,EASTERN IOWA COMMUNITY COLLEGES,Disability - Effective Communication,2022-05-23
Iowa,CENTRAL COLLEGE,Title IX - Single Sex Campus Programs,2023-12-04
Iowa,COE COLLEGE,Title IX - Procedural Requirements,2023-03-02
Iowa,IOWA STATE UNIVERSITY,Title IX - Single Sex Scholarships,2020-11-25
Iowa,SOUTHEASTERN COMMUNITY COLLEGE,Title IX - Discipline,2022-09-15
Iowa,SOUTHEASTERN COMMUNITY COLLEGE,Title IX - Retaliation,2022-09-15
Iowa,UNIVERSITY OF DUBUQUE,Title IX - Others,2023-03-03
Iowa,UNIVERSITY OF DUBUQUE,Title IX - Procedural Requirements,2023-03-03
Iowa,UNIVERSITY OF IOWA,Title IX - Single Sex Campus Programs,2019-12-16
Iowa,UNIVERSITY OF DUBUQUE,Title IX - Sexual Harassment,2023-03-03
Iowa,UNIVERSITY OF IOWA,Disability - Others,2019-11-26
Iowa,UNIVERSITY OF IOWA,Disability - Service Animal,2019-11-26
Iowa,UNIVERSITY OF IOWA,Title VI - Denial of Benefits,2021-07-23
Iowa,UNIVERSITY OF IOWA,Title VI - Denial of Benefits,2022-12-06
Iowa,UNIVERSITY OF IOWA,Title IX - Others,2022-06-24
Iowa,UNIVERSITY OF IOWA,Title IX - Procedural Requirements,2019-12-05
Iowa,UNIVERSITY OF IOWA,Title IX - Procedural Requirements,2020-11-09
Kansas,BETHEL COLLEGE,Disability - Others,2019-11-26
Kansas,EDUCARE AT BUTLER COMMUNITY COLLEGE,Title IX - Sexual Violence,2021-04-12
Kansas,EMPORIA STATE UNIVERSITY,Title IX - Single Sex Campus Programs,2024-01-16
Kansas,EMPORIA STATE UNIVERSITY,Title IX - Single Sex Scholarships,2024-01-16
Kansas,KANSAS CITY KANSAS COMMUNITY COLLEGE,Title VI - Racial Harassment,2020-05-22
Kansas,KANSAS CITY KANSAS COMMUNITY COLLEGE,Title VI - Retaliation,2018-12-03
Kansas,KANSAS CITY KANSAS COMMUNITY COLLEGE,Title IX - Sexual Harassment,2018-12-03
Kansas,KANSAS CITY KANSAS COMMUNITY COLLEGE,Age - Discrimination Prohibited,2020-05-22
Kansas,KANSAS CITY KANSAS COMMUNITY COLLEGE,Title VI - Racial Harassment,2018-12-03
Kansas,CLOUD COUNTY COMMUNITY COLLEGE,Title IX - Retaliation,2022-07-16
Kansas,CLOUD COUNTY COMMUNITY COLLEGE,Title IX - Sexual Violence,2022-07-16
Kansas,HESSTON COLLEGE,Title IX - Single Sex Campus Programs,2023-12-21
Kansas,HESSTON COLLEGE,Title IX - Single Sex Scholarships,2023-12-21
Kansas,BUTLER COMMUNITY COLLEGE,Title IX - Single Sex Scholarships,2024-02-08
Kansas,FORT HAYS STATE UNIVERSITY,Title IX - Single Sex Scholarships,2020-06-23
Kansas,FORT HAYS STATE UNIVERSITY,Title VI - Denial of Benefits,2023-04-26
Kansas,FORT HAYS STATE UNIVERSITY,Title VI - Others,2023-04-26
Kansas,KANSAS STATE UNIVERSITY,Title IX - Single Sex Campus Programs,2020-03-04
Kansas,KANSAS STATE UNIVERSITY,Title IX - Single Sex Scholarships,2020-09-09
Kansas,KANSAS STATE UNIVERSITY,Title IX - Retaliation,2015-09-24
Kansas,KANSAS STATE UNIVERSITY,Title IX - Sexual Violence,2015-09-24
Kansas,KANSAS STATE UNIVERSITY,Title IX - Sexual Violence,2017-03-27
Kansas,NEWMAN UNIVERSITY,Title VI - Denial of Benefits,2017-02-28
Kansas,UNIVERSITY OF KANSAS SCHOOL OF MEDICINE,Title IX - Others,2020-04-23
Kansas,UNIVERSITY OF KANSAS SCHOOL OF MEDICINE,Title IX - Single Sex Scholarships,2020-06-18
Kansas,UNIVERSITY OF SAINT MARY,Title IX - Single Sex Scholarships,2024-02-13
Kansas,UNIVERSITY OF KANSAS SCHOOL OF MEDICINE,Disability - Accessibility,2016-01-28
Kansas,UNIVERSITY OF KANSAS SCHOOL OF MEDICINE,Disability - Accessibility,2020-06-11
Kansas,UNIVERSITY OF KANSAS SCHOOL OF MEDICINE,Title VI - Denial of Benefits,2020-04-23
Kansas,UNIVERSITY OF KANSAS SCHOOL OF MEDICINE,Title IX - Denial of Benefits,2020-04-23
Kansas,UNIVERSITY OF KANSAS SCHOOL OF MEDICINE,Title IX - Denial of Benefits,2020-06-18
Kansas,PITTSBURG STATE UNIVERSITY,Title IX - Single Sex Scholarships,2020-07-08
Kansas,WICHITA STATE UNIVERSITY,Disability - Academic Adjustments,2023-09-19
Kansas,WICHITA STATE UNIVERSITY,Disability - Accessibility,2023-09-19
Kansas,WICHITA STATE UNIVERSITY,Disability - Denial of Benefits,2023-09-19
Kansas,WICHITA STATE UNIVERSITY,Title VI - Discipline,2017-04-20
Kansas,WICHITA STATE UNIVERSITY,Title IX - Single Sex Scholarships,2020-05-18
Kansas,WICHITA STATE UNIVERSITY,Title VI - Denial of Benefits,2017-04-20
Kentucky,CAMPBELLSVILLE UNIVERSITY,Title IX - Sexual Harassment,2021-03-23
Kentucky,BELLARMINE UNIVERSITY,Title VI - Admissions,2022-01-28
Kentucky,BELLARMINE UNIVERSITY,Title IX - Single Sex Campus Programs,2022-01-28
Kentucky,CAMPBELLSVILLE UNIVERSITY,Age - Discrimination Prohibited,2021-03-23
Kentucky,CAMPBELLSVILLE UNIVERSITY,Title VI - Denial of Benefits,2021-03-23
Kentucky,CAMPBELLSVILLE UNIVERSITY,Title IX - Retaliation,2021-03-23
Kentucky,OWENSBORO COMMUNITY AND TECHNICAL COLLEGE,Disability - Accessibility - Website/Online Courses,2022-05-23
Kentucky,OWENSBORO COMMUNITY AND TECHNICAL COLLEGE,Disability - Effective Communication,2022-05-23
Kentucky,MURRAY STATE UNIVERSITY,Title VI - Others,2022-06-22
Kentucky,UNIVERSITY OF LOUISVILLE,Title VI - Others,2022-06-28
Kentucky,UNIVERSITY OF LOUISVILLE,Title IX - Single Sex Campus Programs,2021-06-09
Kentucky,UNIVERSITY OF LOUISVILLE,Title IX - Single Sex Scholarships,2020-06-08
Kentucky,UNIVERSITY OF LOUISVILLE,Title IX - Single Sex Scholarships,2022-06-28
Kentucky,UNIVERSITY OF KENTUCKY,Title IX - Sexual Harassment,2021-11-15
Kentucky,UNIVERSITY OF KENTUCKY,Title IX - Sexual Violence,2015-04-14
Kentucky,UNIVERSITY OF LOUISVILLE,Title VI - Others,2021-06-09
Kentucky,NORTHERN KENTUCKY UNIVERSITY,Disability - Academic Adjustments,2023-10-27
Kentucky,UNIVERSITY OF KENTUCKY,Title VI - Denial of Benefits,2021-04-16
Kentucky,UNIVERSITY OF KENTUCKY,Title VI - Others,2022-01-18
Kentucky,UNIVERSITY OF KENTUCKY,Title IX - Denial of Benefits,2021-04-16
Kentucky,UNIVERSITY OF KENTUCKY,Title IX - Retaliation,2021-11-15
Kentucky,WESTERN KENTUCKY UNIVERSITY,Title VI - Others,2022-09-13
Kentucky,WESTERN KENTUCKY UNIVERSITY,Title IX - Denial of Benefits,2020-04-17
Kentucky,WESTERN KENTUCKY UNIVERSITY,Title IX - Single Sex Scholarships,2020-04-17
Louisiana,BATON ROUGE COMMUNITY COLLEGE,Title VI - Denial of Benefits,2018-12-14
Louisiana,BOSSIER PARISH COMMUNITY COLLEGE,Disability - Denial of Benefits,2022-12-09
Louisiana,BOSSIER PARISH COMMUNITY COLLEGE,Title IX - Denial of Benefits,2022-12-09
Louisiana,BOSSIER PARISH COMMUNITY COLLEGE,Title IX - Sexual Harassment,2022-12-09
Louisiana,DELTA COLLEGE,Title IX - Gender Harassment,2016-02-18
Louisiana,BLUE CLIFF COLLEGE - METAIRIE,Title IX - Sexual Harassment,2021-01-22
Louisiana,LOUISIANA CHRISTIAN UNIVERSITY,Disability - Accessibility - Website/Online Courses,2022-05-23
Louisiana,LOYOLA UNIVERSITY NEW ORLEANS,Disability - Retaliation,2022-10-06
Louisiana,LOUISIANA STATE UNIVERSITY - BATON ROUGE,Title VI - Others,2022-02-24
Louisiana,LOUISIANA STATE UNIVERSITY - BATON ROUGE,Title IX - Single Sex Campus Programs,2022-02-24
Louisiana,LOUISIANA STATE UNIVERSITY - BATON ROUGE,Title IX - Single Sex Scholarships,2022-02-24
Louisiana,LOUISIANA STATE UNIVERSITY AT ALEXANDRIA,Disability - Denial of Benefits,2023-09-21
Louisiana,LOUISIANA STATE UNIVERSITY AT ALEXANDRIA,Title VI - Denial of Benefits,2023-09-21
Louisiana,LOUISIANA STATE UNIVERSITY-SYSTEM OFFICE,Title IX - Single Sex Scholarships,2022-02-09
Louisiana,NORTHSHORE TECHNICAL CC - FLORIDA PARISHES CAMPUS,Title VI - Retaliation,2022-07-27
Louisiana,NORTHWESTERN STATE UNIVERSITY OF LOUISIANA,Title VI - Denial of Benefits,2014-12-18
Louisiana,NORTHWESTERN STATE UNIVERSITY OF LOUISIANA,Title VI - Racial Harassment,2014-12-18
Louisiana,NORTHSHORE TECHNICAL CC - FLORIDA PARISHES CAMPUS,Title VI - Denial of Benefits,2022-07-27
Louisiana,NORTHSHORE TECHNICAL CC - FLORIDA PARISHES CAMPUS,Title VI - Racial Harassment,2022-07-27
Louisiana,NORTHWESTERN STATE UNIVERSITY OF LOUISIANA,Title VI - Retaliation,2014-12-18
Louisiana,NORTHWESTERN STATE UNIVERSITY OF LOUISIANA,Title IX - Denial of Benefits,2014-12-18
Louisiana,SOUTHERN UNIVERSITY AND A & M COLLEGE,Title IX - Sexual Harassment,2017-05-12
Louisiana,SOUTHERN UNIVERSITY AND A & M COLLEGE,Title IX - Sexual Harassment,2020-05-20
Louisiana,SOUTHERN UNIVERSITY SYSTEM,Disability - Academic Adjustments,2023-11-20
Louisiana,SOUTHERN UNIVERSITY SYSTEM,Disability - Disability Harassment,2023-11-20
Louisiana,SOUTHERN UNIVERSITY AND A & M COLLEGE,Disability - Academic Adjustments,2023-11-29
Louisiana,SOUTHERN UNIVERSITY AND A & M COLLEGE,Disability - Denial of Benefits,2017-05-12
Louisiana,SOUTHERN UNIVERSITY AND A & M COLLEGE,Disability - Disability Harassment,2020-05-20
Louisiana,SOUTHERN UNIVERSITY AND A & M COLLEGE,Disability - Retaliation,2017-05-12
Louisiana,SOUTHEASTERN LOUISIANA UNIVERSITY,Title VI - Others,2023-06-22
Louisiana,SOUTHERN UNIVERSITY AND A & M COLLEGE,Title VI - Denial of Benefits,2020-05-20
Louisiana,SOUTHERN UNIVERSITY AND A & M COLLEGE,Title IX - Denial of Benefits,2020-05-20
Louisiana,SOUTHERN UNIVERSITY AND A & M COLLEGE,Title IX - Denial of Benefits,2022-12-21
Louisiana,SOUTHERN UNIVERSITY AND A & M COLLEGE,Title IX - Retaliation,2020-05-20
Louisiana,SOUTHERN UNIVERSITY AND A & M COLLEGE,Disability - Academic Adjustments,2023-06-12
Louisiana,XAVIER UNIVERSITY OF LOUISIANA,Disability - Academic Adjustments,2021-07-15
Louisiana,XAVIER UNIVERSITY OF LOUISIANA,Disability - Retaliation,2021-07-15
Louisiana,XAVIER UNIVERSITY OF LOUISIANA,Title IX - Sexual Harassment,2020-07-20
Louisiana,UNIVERSITY OF LOUISIANA AT LAFAYETTE,Title IX - Single Sex Scholarships,2021-12-07
Louisiana,THE UNIVERSITY OF NEW ORLEANS,Disability - Accessibility,2023-12-04
Louisiana,TULANE UNIVERSITY,Title VI - National Origin Discrimination Involving Religion,2023-12-05
Louisiana,TULANE UNIVERSITY,Title IX - Others,2023-02-03
Louisiana,TULANE UNIVERSITY,Title IX - Single Sex Campus Programs,2023-05-08
Maine,SOUTHERN MAINE COMMUNITY COLLEGE,Disability - Accessibility - Website/Online Courses,2022-05-23
Maine,SOUTHERN MAINE COMMUNITY COLLEGE,Disability - Effective Communication,2022-05-23
Maine,SOUTHERN MAINE COMMUNITY COLLEGE,Title IX - Single Sex Scholarships,2020-01-22
Maine,UNIVERSITY OF MAINE AT PRESQUE ISLE,Disability - Accessibility,2023-04-13
Maine,COLBY COLLEGE,Title IX - Sexual Violence,2022-11-15
Maine,COLBY COLLEGE,Title IX - Single Sex Scholarships,2022-03-25
Maine,HUSSON UNIVERSITY,Title VI - Retaliation,2022-08-30
Maine,SAINT JOSEPH'S COLLEGE,Title IX - Sexual Harassment,2019-11-06
Maine,COLBY COLLEGE,Title IX - Procedural Requirements,2022-11-15
Maine,YORK COUNTY COMMUNITY COLLEGE,Title IX - Single Sex Scholarships,2024-01-19
Maryland,ANNE ARUNDEL COMMUNITY COLLEGE,Disability - Denial of Benefits,2023-11-09
Maryland,ANNE ARUNDEL COMMUNITY COLLEGE,Disability - Retaliation,2023-11-09
Maryland,BOWIE STATE UNIVERSITY,Title IX - Athletics,2020-01-06
Maryland,COLLEGE OF SOUTHERN MARYLAND,Disability - Academic Adjustments,2023-03-14
Maryland,FORTIS COLLEGE,Title IX - Others,2020-08-04
Maryland,FORTIS COLLEGE,Title IX - Retaliation,2020-08-04
Maryland,JOHNS HOPKINS EMPLOYER HEALTH PROGRAM,Disability - Accessibility - Website/Online Courses,2022-03-15
Maryland,JOHNS HOPKINS EMPLOYER HEALTH PROGRAM,Disability - Disability Harassment,2022-03-15
Maryland,JOHNS HOPKINS EMPLOYER HEALTH PROGRAM,Disability - Procedural Requirements,2022-03-15
Maryland,JOHNS HOPKINS UNIVERSITY,Title VI - National Origin Discrimination Involving Religion,2024-02-12
Maryland,JOHNS HOPKINS UNIVERSITY,Title VI - Others,2023-04-05
Maryland,MONTGOMERY BEAUTY SCHOOL,Title IX - Denial of Benefits,2022-01-04
Maryland,JOHNS HOPKINS EMPLOYER HEALTH PROGRAM,Title IX - Sexual Violence,2022-04-25
